Name,Listing URL,Price,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleanliness Rating,Latitude,Longitude,More Details,Discount,Risk,Distance,Score
Snow White in the Tiberina Island.,https://airbnb.com/rooms/10980286,12655.0,1,2,2,4.84,305,4.9,41.89201,12.47489,7,0.0,0,0.5693225189172918,5.418410526624575
Brand New Attic in Trastevere!,https://airbnb.com/rooms/788246879857710724,10364.0,4,2,2,4.81,37,4.7,41.8918605,12.4693998,0,4800.0,0,0.9268594281206745,5.330485287207104
Boutique Domus Ripetta  Close SpanishTreviPantheon,https://airbnb.com/rooms/827996926286851122,9888.0,3,2,2,4.79,39,4.8,41.903180718501474,12.474851482273271,10,0.0,0,0.8620869779462452,5.285911011698351
Art Apartment in Trastevere,https://airbnb.com/rooms/53824805,7594.0,2,2,2,4.8,20,4.7,41.8918531,12.4679008,10,1340.0,0,,5.081582542421628
In the heart of Trastevere,https://airbnb.com/rooms/14010875,14360.0,3,2,2,4.88,207,4.9,41.89068,12.47006,0,1595.0,0,0.9567302445557662,4.750393878159455
Romanticasa Navona,https://airbnb.com/rooms/15440289,14037.0,3,3,3,4.24,205,4.3,41.90192,12.4716,0,0.0,0,0.8951539656136355,4.687265435509393
Via dei Cestari loft,https://airbnb.com/rooms/44083598,10569.0,4,2,2,4.42,98,4.5,41.89613,12.47618,0,0.0,0,0.2378041059764028,4.500399757440006
The great  beauty of Piazza Farnese,https://airbnb.com/rooms/882510348797241127,13896.0,3,2,2,5,22,4.6499999999999995,41.894103516983655,12.472112847585272,7,1173.0,1,0.6152114377985264,4.476139012805231
Elegant apartment with patio at Piazza Navona,https://airbnb.com/rooms/978873748577815605,11877.0,2,2,2,4.71,7,4.4,41.89994,12.47015,10,2969.0,0,0.852404890434817,4.444651973173314
The mirror house elegant apartment Piazza Navona,https://airbnb.com/rooms/826688354126404131,15201.0,3,2,2,4.96,24,4.6499999999999995,41.89775269611801,12.472841283701037,7,1503.0,1,0.5464315062277678,4.411444023379882
BrandNew Navona - LooneyTunes,https://airbnb.com/rooms/860016183772761904,11177.0,3,2,2,4.86,43,4.7,41.898813246923154,12.471632287207711,0,0.0,0,0.6848779851781991,4.271906336865412
Elegant apartment,https://airbnb.com/rooms/1021753658222523008,14027.0,3,3,3,4.727857142857142,0,4.6499999999999995,41.90192,12.47473,0,0.0,2,,4.046248829975555
iFlat | Synagogue at Your Feet,https://airbnb.com/rooms/686845086088756635,10789.0,3,2,2,4.67,30,4.5,41.8923032,12.4779768,0,0.0,0,0.42998757891840533,4.008923380295775
Romantic apartment in the heart of Trastevere,https://airbnb.com/rooms/573940540477566659,13765.0,3,2,2,4.72,75,4.8,41.89043,12.46882,0,0.0,0,1.0548451867407393,3.5662540848065443
Wonderful Apartment with Balcony in Piazza Margana,https://airbnb.com/rooms/933139654157111659,10323.0,2,2,2,4.727857142857142,0,4.6499999999999995,41.8942671328134,12.481377502407392,0,0.0,2,0.2792038638840539,3.149165088334512
"Rome Center, luxury & history in Via Monserrato",https://airbnb.com/rooms/1020094140037584413,9653.0,2,2,2,4.727857142857142,0,4.6499999999999995,41.89586,12.468,0,2413.0,2,0.9151020901079865,2.9616561253652414
Via dei Cartari luxury apartment,https://airbnb.com/rooms/43734600,12756.0,2,2,2,4.49,97,4.6,41.89843,12.46928,0,0.0,0,,2.8017279752966577
Flower Home Campo de Fiori,https://airbnb.com/rooms/765246847395768961,11682.0,3,2,2,4.727857142857142,0,4.6499999999999995,41.8956709,12.471591,0,1298.0,2,,2.62493419652391
